RHO   : 1.225
NU    : 1.463e-05
B     : 2
U_inf : 7.9
RPM   : 140
power : 195.66057948879254
R_out : 1.42
R_in  : 0.059
N     : 50
M     : 50
dt    : 0.05
thrust: 21.99058177149203
eta   : 0.8878926784776189
optsucess:Optimization terminated successfully
îºåar[m],óÉå∑í∑chord[m],éÊïtäptheta[deg],ó¨ì¸äpphi[deg],å}äpalpha[deg],èzä¬gamma,Re,ógóÕåWêîCL,çRóÕåWêîCD,ó¨ì¸ë¨ìxV,ã«èäógóÕdL,ã«èäçRóÕdD
1.161409999999999831e+00,9.905809271686193129e-02,2.896444176462724585e+01,2.669544572541112615e+01,2.268996039216121474e+00,6.706092609082506817e-01,1.270363895241397258e+05,7.216507609189445338e-01,1.568853044131660740e-02,1.876214580519374664e+01,4.195427908166287079e-01,9.120768939230557495e-03
1.188629999999999853e+00,9.656314394663192968e-02,2.830564505468478842e+01,2.624984222842874360e+01,2.055802826256043936e+00,6.444517960327826867e-01,1.262293357766760746e+05,6.979363388645711819e-01,1.576530671626399233e-02,1.912463810657838792e+01,4.109678740077495895e-01,9.283131173257783142e-03
1.215849999999999653e+00,9.401779371467840207e-02,2.761845663478393575e+01,2.581041852870916387e+01,1.808038106074772777e+00,6.146587255289274188e-01,1.252406128397175198e+05,6.709258677968361617e-01,1.586275628475048924e-02,1.948854672558654855e+01,3.994272730844352082e-01,9.443692351923880721e-03
1.243069999999999675e+00,9.140014517827034501e-02,2.693890354733719406e+01,2.541626761042253690e+01,1.522635936914657817e+00,5.813215651405618800e-01,1.240354451871553756e+05,6.407023161144452805e-01,1.598636601332531840e-02,1.985378206510222299e+01,3.848432681217432427e-01,9.602346030632324253e-03
1.270289999999999697e+00,8.853034772500593952e-02,2.623711070759063446e+01,2.503358350822624701e+01,1.203527199364387235e+00,5.430262435437246404e-01,1.223587269509942707e+05,6.066965684404291848e-01,1.616739333719284522e-02,2.022027724157937811e+01,3.661273180402492278e-01,9.756647177788386679e-03
1.297509999999999719e+00,8.470280552306275190e-02,2.560195582052985941e+01,2.470192904364863651e+01,9.000267768812230118e-01,4.992588239095552272e-01,1.191976819748973503e+05,5.725898023101442247e-01,1.653437582616753762e-02,2.058800858512215726e+01,3.427396110802373164e-01,9.897112238554340788e-03
1.324729999999999741e+00,8.023839229805650175e-02,2.496599236496550489e+01,2.439278939269146917e+01,5.732029722740359379e-01,4.475192495350088784e-01,1.149383481093999580e+05,5.322705516523913438e-01,1.707137662433257097e-02,2.095690086354398574e+01,3.127252794525346991e-01,1.002995752613113078e-02
1.351949999999999763e+00,7.432092103456805487e-02,2.435933313003513945e+01,2.410537221868098001e+01,2.539609113541584917e-01,3.848549628118226873e-01,1.083413202692376362e+05,4.856111357127529393e-01,1.798843698913904499e-02,2.132688203368359581e+01,2.736835330118913001e-01,1.013802737724177859e-02
1.379169999999999785e+00,6.403599251954492089e-02,2.407795433696226084e+01,2.393390583226899437e+01,1.440485046932663549e-01,3.066655477198262925e-01,9.497423710929002846e+04,4.414127199262796175e-01,2.016091240725255071e-02,2.169831424858170621e+01,2.218784851885046705e-01,1.013399139400968790e-02
1.406389999999999807e+00,4.511581998796895809e-02,2.382077590799790556e+01,2.329617451784926985e+01,5.246013901486343833e-01,1.921369697371177188e-01,6.805365065621858230e+04,3.859625607613787479e-01,2.539052888590403317e-02,2.206819934484137491e+01,1.413845796283536294e-01,9.300977913488666857e-03
